Service,EC2-Instances($),Elastic Container Service for Kubernetes($),EC2-Other($),Relational Database Service($),VPC($),Elastic Container Service($),Elastic Load Balancing($),CloudWatch($),Key Management Service($),Secrets Manager($),EC2 Container Registry (ECR)($),Cost Explorer($),Inspector($),Security Hub($),S3($),Service Catalog($),Location Service($),SQS($),DynamoDB($),SNS($),Glacier($),Step Functions($),Lightsail($),Simple Workflow Service($),CloudShell($),CloudTrail($),Glue($),Tax($),Systems Manager($),CloudFormation($),Lambda($),X-Ray($),Total costs($)
03-05-2025,9.701813591,1.409314195,1.874428508,0.011177703,0.544376385,,0.54,0.004005806,0.130046256,0.039059677,0.000431419,,,0.004,9.59862E-05,,,0,,0,7.59E-08,4.86E-08,,0,,0,0,,,0,,,14.25874965
04-05-2025,9.024,,1.831049137,0.011177703,0.48,,0.540000071,0.003745806,0.129650256,0.038939677,0.000431419,,,0.004,5.75908E-05,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,,,,12.06305174
05-05-2025,9.024,,1.837363396,0.011177703,0.547198605,0.05226977,0.652505112,0.003745806,0.129698256,0.038944677,0.000431419,,,0.004,7.79968E-05,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,,,,12.30141282
06-05-2025,9.024,,1.837333292,0.011177703,0.50908194,0.044899272,0.58500274,0.003776328,0.129650256,0.038939677,0.000431419,,,0.004,5.75908E-05,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,,,,12.1883503
07-05-2025,9.024,,1.837327878,0.011177703,0.4871375,0.007113315,0.562500747,0.004036677,0.129971256,0.039059677,0.0004366,,,0.004,9.59922E-05,,,0,,0,7.59E-08,4.86E-08,,0,,0,0,,,,,,12.10685747
08-05-2025,9.087908224,,1.842491599,0.011177703,0.545072215,0.053422369,0.697516136,0.003829281,0.12821617,0.038939677,0.000455358,,,0.004,6.26034E-05,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,,,,12.41309142
09-05-2025,9.024,,1.831041524,0.011177703,0.48,,0.540000089,0.00377022,0.129599256,0.038944677,0.000460906,,,0.004,7.79974E-05,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,0,,,,12.06307245
10-05-2025,9.024,,1.837328202,0.011177703,0.48,,0.540000079,0.00403022,0.129734256,0.039054677,0.000460906,,,0.004,7.55922E-05,,,0,,0,7.59E-08,4.86E-08,,0,,0,0,,,,,,12.06986176
11-05-2025,9.024,,1.837332054,0.011177703,0.48,,0.540000013,0.00377022,0.129539256,0.038944677,0.000460906,,,0.004,7.79974E-05,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,,,,12.06930291
12-05-2025,9.024,,1.8373279,0.011177703,0.48,,0.540000104,0.00377022,0.129500256,0.038939677,0.000460906,,,0.004,5.80154E-05,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,,,,12.06923486
13-05-2025,9.024,,1.837327915,0.011177703,0.48,,0.540000091,0.00377022,0.125506998,0.038944677,0.000460906,,,0.004,7.88088E-05,,,0,,0,5.06E-08,3.24E-08,,0,,0,0,,,,,,12.0652674
14-05-2025,9.110349112,,1.846775305,0.011177703,0.517225,,0.540000085,0.00403022,0.125701998,0.039054677,0.000460906,,,0.004,9.88196E-05,,,0,,0,7.59E-08,4.86E-08,,0,,0,0,,,,,,12.19887395
